order_id,symbol,direction,status,open_time,open_price,sl,tp1,tp2,tp3,rr,score,regime,volume,close_time,close_price,pnl_r,pnl_usdt,exit_reason,mfe_r,mae_r,max_r_before_stop,note
260629162408023,BTC/USDT,Short,OPEN,2026-07-05T10:32:41.764655,62738.6,63000.78,62345.32,62214.23,61952.05,1.5,41.84,trend,0,,,,,,,,,adx=29.9 atr=131.1 vol_ratio=0.07
260629162408024,BTC/USDT,Short,OPEN,2026-07-05T10:35:40.701390,62770.0,63036.88,62369.67,62236.23,61969.35,1.5,42.66,trend,0,,,,,,,,,adx=29.7 atr=133.4 vol_ratio=0.18
260629162408025,BTC/USDT,Short,OPEN,2026-07-05T10:37:28.005098,62752.5,63019.38,62352.17,62218.73,61951.85,1.5,41.84,trend,0,,,,,,,,,adx=29.7 atr=133.4 vol_ratio=0.27
260629162408026,BTC/USDT,Short,OPEN,2026-07-05T10:38:49.155023,62739.6,63006.48,62339.27,62205.83,61938.95,1.5,41.84,trend,0,,,,,,,,,adx=29.7 atr=133.4 vol_ratio=0.28
260629162408027,BTC/USDT,Short,OPEN,2026-07-05T11:29:17.455540,62643.3,62908.34,62245.74,62113.22,61848.18,1.5,39.08,trend,0,,,,,,,,,adx=30.3 atr=132.5 vol_ratio=0.54
260629162408028,ETH/USDT,Short,OPEN,2026-07-05T11:29:23.961620,1757.56,1769.5,1739.65,1733.68,1721.74,1.5,39.16,trend,0,,,,,,,,,adx=40.8 atr=6.0 vol_ratio=0.71
260629162408029,BTC/USDT,Short,OPEN,2026-07-05T12:05:01.333701,62725.7,62973.01,62354.73,62231.08,61983.77,1.5,38.26,trend,0,,,,,,,,,adx=30.0 atr=123.7 vol_ratio=0.17
260629162408030,ETH/USDT,Short,OPEN,2026-07-05T12:05:07.838964,1761.01,1771.67,1745.02,1739.68,1729.02,1.5,38.33,trend,0,,,,,,,,,adx=42.5 atr=5.3 vol_ratio=0.18
260629162408031,BTC/USDT,Long,OPEN,2026-07-05T15:39:54.203111,62850.5,62635.97,63172.29,63279.56,63494.09,1.5,37.37,transition,0,,,,,,,,,adx=20.0 atr=107.3 vol_ratio=0.89
260629162408032,ETH/USDT,Long,OPEN,2026-07-05T15:39:59.886461,1766.04,1757.01,1779.58,1784.1,1793.12,1.5,33.22,trend,0,,,,,,,,,adx=26.5 atr=4.5 vol_ratio=0.89
260629162408033,BTC/USDT,Long,OPEN,2026-07-06T07:49:03.515688,99.41,95.97,104.57,106.29,109.74,1.5,38.98,trend,0,,,,,,,,,adx=31.4 atr=1.9 vol_ratio=0.65
260629162408034,BTC/USDT,Long,OPEN,2026-07-06T08:14:08.083816,99.41,95.97,104.57,106.29,109.74,1.5,38.98,trend,0,,,,,,,,,adx=31.4 atr=1.9 vol_ratio=0.65
260629162408035,BTC/USDT,Long,OPEN,2026-07-06T08:14:57.856016,63525.1,63139.89,64102.92,64295.53,64680.74,1.5,42.93,trend,0,,,,,,,,,adx=40.0 atr=192.6 vol_ratio=1.11
260629162408036,BTC/USDT,Long,OPEN,2026-07-06T08:15:45.487630,63628.6,63260.67,64180.49,64364.45,64732.38,1.5,43.02,trend,0,,,,,,,,,adx=40.5 atr=184.0 vol_ratio=0.06
260629162408037,BTC/USDT,Short,OPEN,2026-07-06T13:14:24.956617,63194.5,63559.38,62647.18,62464.74,62099.87,1.5,38.2,transition,0,,,,,,,,,adx=21.0 atr=182.4 vol_ratio=0.54
260629162408038,ETH/USDT,Short,OPEN,2026-07-06T13:14:32.261308,1775.74,1790.26,1753.96,1746.69,1732.17,1.5,34.46,mud,0,,,,,,,,,adx=18.3 atr=7.3 vol_ratio=0.64
260629162408039,BTC/USDT,Short,OPEN,2026-07-06T13:19:58.270619,63153.3,63505.39,62625.17,62449.13,62097.04,1.5,41.09,transition,0,,,,,,,,,adx=20.7 atr=176.0 vol_ratio=0.2
260629162408040,ETH/USDT,Short,OPEN,2026-07-06T13:20:04.815295,1775.12,1789.09,1754.16,1747.18,1733.21,1.5,36.22,mud,0,,,,,,,,,adx=18.2 atr=7.0 vol_ratio=0.15
260629162408041,BTC/USDT,Short,OPEN,2026-07-06T13:28:28.504564,63010.8,63382.13,62453.81,62268.14,61896.81,1.5,43.79,transition,0,,,,,,,,,adx=21.5 atr=185.7 vol_ratio=1.5
260629162408042,ETH/USDT,Short,OPEN,2026-07-06T13:28:33.622136,1768.57,1783.38,1746.36,1738.96,1724.15,1.5,39.47,mud,0,,,,,,,,,adx=19.0 atr=7.4 vol_ratio=2.5
260629162408043,BTC/USDT,Short,OPEN,2026-07-06T17:31:14.603122,62684.8,62973.88,62251.18,62106.64,61817.57,1.5,43.75,trend,0,,,,,,,,,adx=25.6 atr=144.5 vol_ratio=0.25
260629162408044,BTC/USDT,Short,OPEN,2026-07-06T17:36:49.816631,62658.0,62951.51,62217.74,62070.99,61777.48,1.5,44.29,trend,0,,,,,,,,,adx=25.7 atr=146.8 vol_ratio=1.0
260629162408045,ETH/USDT,Short,OPEN,2026-07-06T17:36:56.074494,1757.43,1768.82,1740.35,1734.66,1723.27,1.5,39.13,trend,0,,,,,,,,,adx=27.9 atr=5.7 vol_ratio=1.06
260629162408046,BTC/USDT,Short,OPEN,2026-07-06T18:13:52.802573,62818.9,63115.08,62374.63,62226.54,61930.36,1.5,41.25,trend,0,,,,,,,,,adx=26.6 atr=148.1 vol_ratio=1.21
260629162408047,ETH/USDT,Long,OPEN,2026-07-06T18:13:58.194091,1765.78,1753.95,1783.53,1789.45,1801.28,1.5,26.12,trend,0,,,,,,,,,adx=29.2 atr=5.9 vol_ratio=1.27
260629162408048,BTC/USDT,Long,OPEN,2026-07-06T18:36:14.457741,62931.6,62653.98,63348.03,63486.84,63764.46,1.5,35.08,transition,0,,,,,,,,,adx=24.3 atr=138.8 vol_ratio=0.53
260629162408049,ETH/USDT,Long,OPEN,2026-07-06T18:36:20.739310,1769.78,1758.6,1786.55,1792.14,1803.32,1.5,43.77,trend,0,,,,,,,,,adx=26.9 atr=5.6 vol_ratio=0.64
260629162408050,BTC/USDT,Long,OPEN,2026-07-06T18:41:15.470268,62929.1,62644.4,63356.16,63498.51,63783.21,1.5,36.81,transition,0,,,,,,,,,adx=24.2 atr=142.4 vol_ratio=1.19
260629162408051,ETH/USDT,Long,OPEN,2026-07-06T18:41:21.777122,1770.94,1759.37,1788.3,1794.08,1805.65,1.5,48.13,trend,0,,,,,,,,,adx=26.4 atr=5.8 vol_ratio=1.11
260629162408052,BTC/USDT,Short,OPEN,2026-07-06T19:18:17.915599,62784.5,63045.29,62393.31,62262.92,62002.12,1.5,44.98,transition,0,,,,,,,,,adx=20.7 atr=130.4 vol_ratio=0.09
260629162408053,ETH/USDT,Long,OPEN,2026-07-06T19:18:24.157065,1767.71,1757.01,1783.76,1789.11,1799.81,1.5,31.51,transition,0,,,,,,,,,adx=21.8 atr=5.3 vol_ratio=0.06
260629162408054,BTC/USDT,Short,OPEN,2026-07-06T20:29:04.457137,62087.0,62489.11,61483.84,61282.79,60880.68,1.5,48.66,transition,0,,,,,,,,,adx=24.3 atr=201.1 vol_ratio=2.27
260629162408055,ETH/USDT,Short,OPEN,2026-07-06T20:29:10.648972,1749.38,1764.7,1726.4,1718.74,1703.41,1.5,39.03,transition,0,,,,,,,,,adx=24.5 atr=7.7 vol_ratio=1.24
260629162408056,BTC/USDT,Short,OPEN,2026-07-06T22:42:10.582684,62067.1,62627.87,61225.94,60945.56,60384.78,1.5,39.35,trend,0,,,,,,,,,adx=31.7 atr=280.4 vol_ratio=0.71
260629162408057,ETH/USDT,Long,OPEN,2026-07-06T22:42:17.840479,1752.84,1733.41,1781.98,1791.69,1811.12,1.5,32.92,trend,0,,,,,,,,,adx=28.1 atr=9.7 vol_ratio=0.84
260629162408058,BTC/USDT,Short,OPEN,2026-07-06T22:46:24.138659,61951.6,62485.0,61151.5,60884.79,60351.39,1.5,40.17,trend,0,,,,,,,,,adx=30.0 atr=266.7 vol_ratio=0.03
260629162408059,BTC/USDT,Short,OPEN,2026-07-06T22:53:35.320630,61937.1,62484.79,61115.57,60841.72,60294.03,1.5,40.06,trend,0,,,,,,,,,adx=30.2 atr=273.8 vol_ratio=0.19
260629162408060,ETH/USDT,Short,OPEN,2026-07-06T22:53:54.849885,1748.44,1767.65,1719.63,1710.03,1690.82,1.5,38.68,trend,0,,,,,,,,,adx=26.5 atr=9.6 vol_ratio=0.27
260629162408061,BTC/USDT,Long,OPEN,2026-07-06T23:07:16.271692,62324.9,61772.12,63154.07,63430.46,63983.25,1.5,52.73,trend,0,,,,,,,,,adx=28.4 atr=276.4 vol_ratio=0.41
260629162408062,ETH/USDT,Long,OPEN,2026-07-06T23:07:25.617006,1758.89,1739.78,1787.56,1797.11,1816.23,1.5,47.73,trend,0,,,,,,,,,adx=25.0 atr=9.6 vol_ratio=0.44
260629162408063,BTC/USDT,Long,OPEN,2026-07-06T23:10:11.055664,62420.0,61834.65,63298.03,63590.71,64176.06,1.5,52.73,trend,0,,,,,,,,,adx=29.1 atr=292.7 vol_ratio=0.9
260629162408064,ETH/USDT,Long,OPEN,2026-07-06T23:10:20.559135,1760.75,1740.64,1790.91,1800.96,1821.07,1.5,48.21,trend,0,,,,,,,,,adx=25.7 atr=10.1 vol_ratio=1.05
260629162408065,BTC/USDT,Long,OPEN,2026-07-06T23:12:48.214627,62404.1,61818.75,63282.13,63574.81,64160.16,1.5,53.21,trend,0,,,,,,,,,adx=29.1 atr=292.7 vol_ratio=1.03
260629162408066,ETH/USDT,Long,OPEN,2026-07-06T23:12:57.455219,1760.85,1740.74,1791.01,1801.06,1821.17,1.5,48.21,trend,0,,,,,,,,,adx=25.7 atr=10.1 vol_ratio=1.17
260629162408067,BTC/USDT,Long,OPEN,2026-07-06T23:24:00.388193,62386.2,61816.01,63241.48,63526.57,64096.76,1.5,53.38,trend,0,,,,,,,,,adx=28.1 atr=285.1 vol_ratio=0.38
260629162408068,ETH/USDT,Long,OPEN,2026-07-06T23:24:08.867305,1759.69,1740.17,1788.97,1798.72,1818.24,1.5,49.3,transition,0,,,,,,,,,adx=24.9 atr=9.8 vol_ratio=0.54
260629162408069,BTC/USDT,Long,OPEN,2026-07-07T00:11:13.117939,63624.2,62924.67,64673.5,65023.26,65722.8,1.5,47.56,trend,0,,,,,,,,,adx=30.8 atr=349.8 vol_ratio=1.17
260629162408070,ETH/USDT,Long,OPEN,2026-07-07T00:11:18.865603,1799.74,1775.44,1836.19,1848.35,1872.65,1.5,48.83,trend,0,,,,,,,,,adx=27.9 atr=12.2 vol_ratio=1.47
260629162408071,BTC/USDT,Long,OPEN,2026-07-07T00:23:48.378430,63588.0,62893.49,64629.77,64977.02,65671.54,1.5,47.75,trend,0,,,,,,,,,adx=32.4 atr=347.3 vol_ratio=0.47
260629162408072,ETH/USDT,Long,OPEN,2026-07-07T00:23:54.109804,1795.61,1771.64,1831.57,1843.56,1867.53,1.5,47.75,trend,0,,,,,,,,,adx=29.5 atr=12.0 vol_ratio=0.83
260629162408073,BTC/USDT,Long,OPEN,2026-07-08T00:45:33.811091,64011.0,63496.96,64782.06,65039.07,65553.11,1.5,45.72,mud,0,,,,,,,,,adx=17.3 atr=257.0 vol_ratio=0.0
260629162408074,ETH/USDT,Long,OPEN,2026-07-08T00:45:36.458946,1803.46,1785.61,1830.23,1839.16,1857.0,1.5,42.31,trend,0,,,,,,,,,adx=25.6 atr=8.9 vol_ratio=0.01
260629162408075,BTC/USDT,Long,OPEN,2026-07-08T00:48:13.642151,63984.0,63468.01,64757.99,65015.99,65531.98,1.5,45.91,mud,0,,,,,,,,,adx=17.3 atr=258.0 vol_ratio=0.03
260629162408076,BTC/USDT,Long,OPEN,2026-07-08T00:55:11.519676,64082.5,63537.13,64900.55,65173.23,65718.6,1.5,45.08,mud,0,,,,,,,,,adx=17.8 atr=272.7 vol_ratio=0.63
260629162408077,ETH/USDT,Long,OPEN,2026-07-08T00:55:14.158674,1805.55,1786.48,1834.16,1843.7,1862.77,1.5,46.49,trend,0,,,,,,,,,adx=26.1 atr=9.5 vol_ratio=0.66
260629162408078,BTC/USDT,Long,OPEN,2026-07-08T00:56:26.770717,64052.1,63506.73,64870.15,65142.83,65688.2,1.5,45.08,mud,0,,,,,,,,,adx=17.8 atr=272.7 vol_ratio=0.66
