ts,open,high,low,close,volume,quote
1765270800000,90459.00,90461.70,90090.50,90099.90,2835.097,255930491.35780
1765274400000,90100.00,90307.40,89868.00,90255.70,2884.440,259892097.86370
1765278000000,90255.60,90348.90,90089.20,90341.90,2018.344,182143183.65540
1765281600000,90342.00,90695.60,90276.80,90532.70,4133.543,374121106.77590
1765285200000,90532.70,90820.80,90122.00,90385.00,6568.386,594425188.57090
1765288800000,90385.10,90597.00,89953.00,90327.10,7326.069,661139956.56160
1765292400000,90327.10,92867.00,90244.80,92676.90,27286.767,2500573573.08340
1765296000000,92676.90,94439.00,92656.50,94146.80,31928.152,2990654726.97560
1765299600000,94146.90,94555.00,93505.00,93884.50,18596.110,1749070186.37390
1765303200000,93884.50,94128.50,93615.80,93887.30,6657.184,625161282.44340
1765306800000,93887.20,94221.30,93604.00,93761.90,4842.052,454567144.90850
1765310400000,93761.90,93819.10,92724.60,93075.20,11086.571,1032624696.51530
1765314000000,93075.20,93196.70,92199.00,92591.20,8445.669,782474302.71070
1765317600000,92591.20,92999.50,92455.00,92832.00,4636.792,429970478.14270
1765321200000,92832.00,92933.00,92500.00,92638.40,2882.626,267292457.50360
1765324800000,92638.30,92748.20,91999.30,92084.50,6850.321,632423300.17550
1765328400000,92084.50,92360.00,91900.00,92269.10,4063.792,374455477.25550
1765332000000,92269.20,92530.00,91976.30,92457.60,3730.064,344251827.88570
1765335600000,92457.60,92519.20,92300.00,92366.00,1814.299,167636022.35130
1765339200000,92366.00,92628.60,92339.80,92507.30,2272.461,210175236.63420
1765342800000,92507.40,92695.50,92472.80,92508.60,1947.167,180247865.70000
1765346400000,92508.50,92700.00,92350.00,92648.00,2318.410,214630246.40640
1765350000000,92648.00,92749.80,92446.10,92744.70,2528.253,234103358.09930
1765353600000,92744.70,92759.00,92500.00,92565.00,2184.791,202378092.90900
1765357200000,92565.10,92900.00,92377.90,92870.10,3415.485,316501668.55680
1765360800000,92870.00,93278.90,92088.00,92230.50,9489.568,878618094.68330
1765364400000,92230.40,92396.90,91721.00,92085.50,7861.902,723538558.89360
1765368000000,92085.40,92177.80,91779.10,91952.10,3567.028,328039726.72770
1765371600000,91952.20,92197.30,91903.20,92054.60,3931.323,361831179.10620
1765375200000,92054.50,92073.80,91555.80,91794.00,6843.859,628464973.72010
1765378800000,91794.00,92124.20,91520.00,92021.80,6419.307,589830971.71480
1765382400000,92021.80,92574.20,91846.80,92126.70,7875.898,726495492.20690
1765386000000,92126.70,92483.20,92049.40,92348.80,3707.154,342143403.94990
1765389600000,92348.70,93000.00,91930.40,92448.80,10782.346,997308003.72530
1765393200000,92448.80,93223.60,91605.00,92913.80,25428.266,2355631067.33340
1765396800000,92913.90,94443.70,92182.10,92409.10,26830.645,2506084161.08010
1765400400000,92409.10,92733.30,91825.00,92308.20,8637.026,796674441.28990
1765404000000,92308.30,92659.30,91891.70,92472.20,5427.523,501120139.08530
1765407600000,92472.20,92557.90,91900.00,91977.50,2561.892,236022790.18030
1765411200000,91977.50,92046.30,91011.00,91350.10,9563.395,874808224.34710
1765414800000,91350.10,91370.20,90600.00,90637.00,9373.912,852344290.91250
1765418400000,90637.00,90637.00,89820.00,90034.40,12068.700,1088047139.49350
1765422000000,90034.40,90034.40,89321.00,89833.10,10759.023,965313686.92420
1765425600000,89833.10,90445.60,89640.40,90386.60,7396.863,666028164.09500
1765429200000,90386.60,90386.60,90016.90,90262.00,3051.080,275188684.41280
1765432800000,90262.10,90412.60,89914.20,90252.10,3534.219,318663229.56990
1765436400000,90252.00,90287.50,90011.70,90231.40,2204.922,198777443.40600
1765440000000,90231.30,90232.30,89931.00,90152.50,3367.179,303264030.73560
1765443600000,90152.60,90494.70,90101.50,90196.00,3795.818,342676326.99530
1765447200000,90196.00,90309.20,90125.70,90279.20,2067.866,186545634.59410
1765450800000,90279.10,90377.80,90163.90,90195.30,1780.299,160695753.98940
1765454400000,90195.30,90346.80,89972.20,90000.80,2856.743,257576579.33360
1765458000000,90000.70,90134.60,89827.90,90062.90,3862.943,347691136.90170
1765461600000,90062.80,90450.00,89200.00,89514.50,15218.876,1367282445.33190
1765465200000,89514.40,90618.00,89363.80,89830.10,14728.520,1325698126.77560
1765468800000,89830.10,90150.00,89288.00,89704.20,9718.449,871217365.04220
1765472400000,89704.20,90224.90,89588.00,89935.60,5024.292,452014567.44270
1765476000000,89935.30,91150.00,89851.00,90657.90,11918.538,1080109402.15530
1765479600000,90657.90,91499.00,90531.40,90793.50,9947.018,905704748.83510
1765483200000,90793.50,91806.10,90749.60,91740.90,10033.899,916601087.79000
1765486800000,91740.90,93547.30,91644.60,92823.60,22695.042,2105868162.18580
1765490400000,92823.60,93169.30,92050.30,92325.40,9337.750,863998073.14680
1765494000000,92325.40,92766.60,92289.80,92477.50,6842.722,633107551.53600
1765497600000,92477.60,92598.70,91400.00,91521.00,9048.371,833338788.02400
1765501200000,91521.00,92277.00,91482.90,92129.30,5414.566,497481579.92470
1765504800000,92129.30,92700.00,91883.30,92542.20,5075.204,468744569.86790
1765508400000,92542.20,92719.00,92126.70,92234.30,3275.849,302439963.39670
1765512000000,92234.30,92424.30,92088.80,92355.60,2845.316,262387758.98290
1765515600000,92355.70,92460.00,92028.40,92404.80,2659.739,245419506.64580
1765519200000,92404.90,92685.50,92360.90,92468.70,2953.174,273330008.55500
1765522800000,92468.70,92528.40,92213.20,92389.50,2743.231,253456431.29320
1765526400000,92389.50,92447.00,92052.90,92311.40,3136.686,289326370.13740
1765530000000,92311.40,92517.60,92050.00,92481.70,2631.698,242807974.94690
1765533600000,92481.70,92600.00,92377.30,92454.70,2273.445,210240629.09300
1765537200000,92454.70,92454.70,92234.50,92381.50,1645.364,151920795.92690
1765540800000,92381.40,92391.40,92036.40,92389.90,3094.955,285381406.03970
1765544400000,92389.90,92473.70,92196.00,92261.70,2293.637,211729342.73470
1765548000000,92261.70,92630.00,91851.00,92393.00,9491.735,876142739.20640
1765551600000,92393.00,92407.20,89688.00,89895.00,34325.461,3118187949.38330
1765555200000,89895.00,90397.30,89429.00,89996.80,20457.464,1838175771.46480
